"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products Module","15","0","Search Products via File Data (CSV/XLSX/XML)","0"
"0","","0","Orders Module","12","0","Search Orders by Email (Positive & Negative)","0"
"2","","0","","10","0","","0"
"0","","0","Customer Module","3","0","Search by Email","0"
"0","","0","Customer Module","15","0","Search by Role","0"
"0","","0","Login Module","3","0","Logout Functionality Validation","0"
"0","","0","Customer Module","6","0","Search by Last Name","0"
"0","","0","Orders Module","12","0","Search Orders by Last Name (Positive & Negative)","0"
"0","","1","Login Module","11","0","Data Driven Login Test with Allure & Screenshots","0"
"0","","0","Customer Module","3","0","Add Randomly Generated Customer","0"
"0","","0","Orders Module","12","0","Verify Order Status (Cancelled / Pending / Processing / Complete)","0"
"0","","1","Customer Module","5","0","Add Customer via File Data (CSV/XLSX/XML)","0"
"0","","0","Customer Module","6","0","Search by First Name","0"
