"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Searches for products using data from external files.
Captures screenshots only if search succeeds.
","23106","test_search_product_by_name[chrome-case3]","tests","Wed Oct 22 19:45:51 IST 2025","passed","Wed Oct 22 19:46:14 IST 2025","TestProductsModule","test_products","",""
"","2919","test_search_order_by_email[firefox-case2]","tests","Wed Oct 22 19:28:20 IST 2025","passed","Wed Oct 22 19:28:23 IST 2025","TestOrdersModule","test_orders","",""
"","2190","test_search_order_by_email[firefox-case3]","tests","Wed Oct 22 19:28:58 IST 2025","passed","Wed Oct 22 19:29:00 IST 2025","TestOrdersModule","test_orders","",""
"Verify admin can log in successfully.","18099","test_valid_admin_login[firefox]","tests","Wed Oct 22 18:58:23 IST 2025","passed","Wed Oct 22 18:58:41 IST 2025","TestKeywords","test_keyword","",""
"Verify invalid login shows error message.","5169","test_invalid_login[firefox]","tests","Wed Oct 22 18:59:48 IST 2025","passed","Wed Oct 22 18:59:53 IST 2025","TestKeywords","test_keyword","",""
"
Verifies that a customer can be found by registered email.
","2448","test_search_by_email[chrome-admin@yourstore.com]","tests","Wed Oct 22 18:29:22 IST 2025","passed","Wed Oct 22 18:29:25 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verify searching for a product.","13240","test_search_product[firefox]","tests","Wed Oct 22 19:02:15 IST 2025","passed","Wed Oct 22 19:02:28 IST 2025","TestKeywords","test_keyword","",""
"Verifies customer search by Role.","2011","test_search_by_role[edge-case3]","tests","Wed Oct 22 18:56:26 IST 2025","passed","Wed Oct 22 18:56:28 IST 2025","TestSearchCustomer","test_custsearch","",""
"","4984","test_search_order_by_email[edge-case3]","tests","Wed Oct 22 19:31:44 IST 2025","passed","Wed Oct 22 19:31:49 IST 2025","TestOrdersModule","test_orders","",""
"
Logs in with valid credentials and then logs out.
Captures screenshots for both actions.
","69261","test_logout_after_login[firefox]","tests","Wed Oct 22 19:10:47 IST 2025","passed","Wed Oct 22 19:11:57 IST 2025","TestLoginLogout","test_login","",""
"Verifies customer search by Last Name.","3993","test_search_by_last_name[firefox-case0]","tests","Wed Oct 22 18:40:31 IST 2025","passed","Wed Oct 22 18:40:35 IST 2025","TestSearchCustomer","test_custsearch","",""
"","3462","test_search_order_by_last_name[edge-case2]","tests","Wed Oct 22 19:40:24 IST 2025","passed","Wed Oct 22 19:40:27 IST 2025","TestOrdersModule","test_orders","",""
"
Logs in with valid credentials and then logs out.
Captures screenshots for both actions.
","14528","test_logout_after_login[chrome]","tests","Wed Oct 22 19:10:17 IST 2025","passed","Wed Oct 22 19:10:32 IST 2025","TestLoginLogout","test_login","",""
"
Attempts to log in with each dataset entry.
Supports multiple browsers and data formats.
","39152","test_login_ddt[edge-case3]","tests","Wed Oct 22 19:09:16 IST 2025","passed","Wed Oct 22 19:09:55 IST 2025","TestLoginLogout","test_login","",""
"
Searches for products using data from external files.
Captures screenshots only if search succeeds.
","26401","test_search_product_by_name[chrome-case2]","tests","Wed Oct 22 19:44:38 IST 2025","passed","Wed Oct 22 19:45:04 IST 2025","TestProductsModule","test_products","",""
"
Adds a new customer with randomly generated email.
Used to verify that customer creation works end-to-end.
","12142","test_add_customer_from_user[edge]","tests","Wed Oct 22 18:28:12 IST 2025","passed","Wed Oct 22 18:28:24 IST 2025","TestAddCustomer","test_custadd","",""
"Enter Order ID, click Go, and assert order status.","4019","test_verify_order_status[edge-5]","tests","Wed Oct 22 19:22:33 IST 2025","passed","Wed Oct 22 19:22:37 IST 2025","TestOrdersModule","test_orders","",""
"Verify searching for a product.","17764","test_search_product[chrome]","tests","Wed Oct 22 19:01:47 IST 2025","passed","Wed Oct 22 19:02:05 IST 2025","TestKeywords","test_keyword","",""
"Enter Order ID, click Go, and assert order status.","3471","test_verify_order_status[firefox-2]","tests","Wed Oct 22 19:17:25 IST 2025","passed","Wed Oct 22 19:17:28 IST 2025","TestOrdersModule","test_orders","",""
"","3103","test_search_order_by_last_name[chrome-case3]","tests","Wed Oct 22 19:35:16 IST 2025","passed","Wed Oct 22 19:35:19 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","3889","test_verify_order_status[firefox-4]","tests","Wed Oct 22 19:18:06 IST 2025","passed","Wed Oct 22 19:18:10 IST 2025","TestOrdersModule","test_orders","",""
"
Searches for products using data from external files.
Captures screenshots only if search succeeds.
","5768","test_search_product_by_name[firefox-case0]","tests","Wed Oct 22 19:47:48 IST 2025","passed","Wed Oct 22 19:47:53 IST 2025","TestProductsModule","test_products","",""
"Verifies customer search by Role.","3087","test_search_by_role[edge-case0]","tests","Wed Oct 22 18:54:35 IST 2025","passed","Wed Oct 22 18:54:38 IST 2025","TestSearchCustomer","test_custsearch","",""
"
Adds new customers using input data from external test files.
Automatically captures screenshots and attaches to Allure.
","24069","test_add_customer[chrome-case0]","tests","Wed Oct 22 18:19:26 IST 2025","passed","Wed Oct 22 18:19:50 IST 2025","TestAddCustomer","test_custadd","",""
"
Attempts to log in with each dataset entry.
Supports multiple browsers and data formats.
","1561","test_login_ddt[firefox-case2]","tests","Wed Oct 22 19:07:05 IST 2025","passed","Wed Oct 22 19:07:07 IST 2025","TestLoginLogout","test_login","",""
"Verify invalid login shows error message.","8043","test_invalid_login[chrome]","tests","Wed Oct 22 18:59:30 IST 2025","passed","Wed Oct 22 18:59:38 IST 2025","TestKeywords","test_keyword","",""
"Verifies customer search by Role.","2464","test_search_by_role[edge-case2]","tests","Wed Oct 22 18:55:48 IST 2025","passed","Wed Oct 22 18:55:50 IST 2025","TestSearchCustomer","test_custsearch","",""
"
Searches for products using data from external files.
Captures screenshots only if search succeeds.
","26346","test_search_product_by_name[chrome-case0]","tests","Wed Oct 22 19:41:44 IST 2025","passed","Wed Oct 22 19:42:10 IST 2025","TestProductsModule","test_products","",""
