"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3028","test_search_order_by_last_name[edge-case1]","tests","Sun Oct 19 08:20:32 IST 2025","passed","Sun Oct 19 08:20:35 IST 2025","TestOrdersModule","test_orders","",""
"","2538","test_search_order_by_email[firefox-case0]","tests","Sun Oct 19 08:13:38 IST 2025","passed","Sun Oct 19 08:13:40 IST 2025","TestOrdersModule","test_orders","",""
"","2825","test_search_order_by_email[chrome-case1]","tests","Sun Oct 19 08:12:24 IST 2025","passed","Sun Oct 19 08:12:27 IST 2025","TestOrdersModule","test_orders","",""
"","2219","test_search_order_by_email[firefox-case1]","tests","Sun Oct 19 08:14:07 IST 2025","passed","Sun Oct 19 08:14:09 IST 2025","TestOrdersModule","test_orders","",""
"","2849","test_search_order_by_email[edge-case1]","tests","Sun Oct 19 08:15:40 IST 2025","passed","Sun Oct 19 08:15:43 IST 2025","TestOrdersModule","test_orders","",""
"","2421","test_search_order_by_last_name[firefox-case3]","tests","Sun Oct 19 08:19:56 IST 2025","passed","Sun Oct 19 08:19:59 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2687","test_verify_order_status[edge-5]","tests","Sun Oct 19 08:11:40 IST 2025","passed","Sun Oct 19 08:11:42 IST 2025","TestOrdersModule","test_orders","",""
"","2317","test_search_order_by_last_name[firefox-case1]","tests","Sun Oct 19 08:18:56 IST 2025","passed","Sun Oct 19 08:18:58 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2116","test_verify_order_status[firefox-5]","tests","Sun Oct 19 08:10:35 IST 2025","passed","Sun Oct 19 08:10:37 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2411","test_verify_order_status[edge-2]","tests","Sun Oct 19 08:11:08 IST 2025","passed","Sun Oct 19 08:11:10 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2410","test_verify_order_status[chrome-4]","tests","Sun Oct 19 08:08:16 IST 2025","passed","Sun Oct 19 08:08:19 IST 2025","TestOrdersModule","test_orders","",""
"","3038","test_search_order_by_email[edge-case3]","tests","Sun Oct 19 08:16:16 IST 2025","passed","Sun Oct 19 08:16:19 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","1974","test_verify_order_status[firefox-4]","tests","Sun Oct 19 08:10:05 IST 2025","passed","Sun Oct 19 08:10:07 IST 2025","TestOrdersModule","test_orders","",""
"","2752","test_search_order_by_email[chrome-case2]","tests","Sun Oct 19 08:12:46 IST 2025","passed","Sun Oct 19 08:12:49 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2340","test_verify_order_status[edge-4]","tests","Sun Oct 19 08:11:24 IST 2025","passed","Sun Oct 19 08:11:26 IST 2025","TestOrdersModule","test_orders","",""
"","2971","test_search_order_by_last_name[edge-case3]","tests","Sun Oct 19 08:21:09 IST 2025","passed","Sun Oct 19 08:21:12 IST 2025","TestOrdersModule","test_orders","",""
"","2754","test_search_order_by_last_name[firefox-case2]","tests","Sun Oct 19 08:19:26 IST 2025","passed","Sun Oct 19 08:19:28 IST 2025","TestOrdersModule","test_orders","",""
"","2656","test_search_order_by_email[chrome-case3]","tests","Sun Oct 19 08:13:09 IST 2025","passed","Sun Oct 19 08:13:12 IST 2025","TestOrdersModule","test_orders","",""
"","2294","test_search_order_by_email[firefox-case2]","tests","Sun Oct 19 08:14:37 IST 2025","passed","Sun Oct 19 08:14:39 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2359","test_verify_order_status[chrome-5]","tests","Sun Oct 19 08:08:37 IST 2025","passed","Sun Oct 19 08:08:40 IST 2025","TestOrdersModule","test_orders","",""
"","2494","test_search_order_by_email[firefox-case3]","tests","Sun Oct 19 08:15:06 IST 2025","passed","Sun Oct 19 08:15:09 IST 2025","TestOrdersModule","test_orders","",""
"","2609","test_search_order_by_last_name[chrome-case2]","tests","Sun Oct 19 08:17:35 IST 2025","passed","Sun Oct 19 08:17:38 IST 2025","TestOrdersModule","test_orders","",""
"","2840","test_search_order_by_last_name[chrome-case1]","tests","Sun Oct 19 08:17:13 IST 2025","passed","Sun Oct 19 08:17:16 IST 2025","TestOrdersModule","test_orders","",""
"","2896","test_search_order_by_last_name[edge-case2]","tests","Sun Oct 19 08:20:49 IST 2025","passed","Sun Oct 19 08:20:52 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","1819","test_verify_order_status[firefox-1]","tests","Sun Oct 19 08:09:05 IST 2025","passed","Sun Oct 19 08:09:07 IST 2025","TestOrdersModule","test_orders","",""
"","3414","test_search_order_by_last_name[chrome-case0]","tests","Sun Oct 19 08:16:46 IST 2025","passed","Sun Oct 19 08:16:50 IST 2025","TestOrdersModule","test_orders","",""
"","2618","test_search_order_by_last_name[chrome-case3]","tests","Sun Oct 19 08:17:57 IST 2025","passed","Sun Oct 19 08:18:00 IST 2025","TestOrdersModule","test_orders","",""
"","2656","test_search_order_by_last_name[firefox-case0]","tests","Sun Oct 19 08:18:25 IST 2025","passed","Sun Oct 19 08:18:28 IST 2025","TestOrdersModule","test_orders","",""
"","2916","test_search_order_by_email[chrome-case0]","tests","Sun Oct 19 08:12:03 IST 2025","passed","Sun Oct 19 08:12:06 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2112","test_verify_order_status[edge-1]","tests","Sun Oct 19 08:10:53 IST 2025","passed","Sun Oct 19 08:10:55 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2155","test_verify_order_status[firefox-2]","tests","Sun Oct 19 08:09:36 IST 2025","passed","Sun Oct 19 08:09:38 IST 2025","TestOrdersModule","test_orders","",""
"","2552","test_search_order_by_last_name[edge-case0]","tests","Sun Oct 19 08:20:15 IST 2025","passed","Sun Oct 19 08:20:18 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2348","test_verify_order_status[chrome-1]","tests","Sun Oct 19 08:07:34 IST 2025","passed","Sun Oct 19 08:07:36 IST 2025","TestOrdersModule","test_orders","",""
"","2526","test_search_order_by_email[edge-case2]","tests","Sun Oct 19 08:15:57 IST 2025","passed","Sun Oct 19 08:16:00 IST 2025","TestOrdersModule","test_orders","",""
"Enter Order ID, click Go, and assert order status.","2255","test_verify_order_status[chrome-2]","tests","Sun Oct 19 08:07:55 IST 2025","passed","Sun Oct 19 08:07:57 IST 2025","TestOrdersModule","test_orders","",""
"","2741","test_search_order_by_email[edge-case0]","tests","Sun Oct 19 08:15:23 IST 2025","passed","Sun Oct 19 08:15:26 IST 2025","TestOrdersModule","test_orders","",""
